Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
LBB Apt - 102-112 Talbot,Reported,1402195000,Multifamily Housing,102-112 Talbot Avenue,2124,24662.0,,,,Multifamily Housing,1920.0,117.3,4.8,2009916.4,0.373,0.6927,,,,,,39.61,Not Available,"102 Talbot Ave, 20 Fowler St, 4 Wellington Hills St",,,117300.0,submitted,
Harvard Hill-1405129000,Reported,1405129000,Multifamily Housing,60-70 Hazelton St,2124,42643.0,,51.0,,"Multifamily Housing, Parking",1940.0,158,4.1,2825421.9,0.1658,0.8342,,,,,,63.03,Not Available,,,,158000.0,submitted,
79 Walnut Park (Wardman),Reported,1101618000,Multifamily Housing,79 Walnut Park,2119,15776.0,,,,Multifamily Housing,1920.0,90.1,5.7,1611292.6,0.1648,0.8352,,,,,,51.36,Not Available,,,,90100.0,submitted,
3-15 Alaska St,Reported,1200420000,Multifamily Housing,3-15 Alaska St,2119,42548.0,,94.0,,Multifamily Housing,1900.0,129.5,3,2410556.7,0.357,0.9643,,,,,,25.56,Not Available,,,,129500.0,submitted,
Quincy Geneva II-1400314000,Reported,1400314000,Multifamily Housing,87-99 Lawrence Ave,2121,32472.0,,24.0,,Multifamily Housing,1910.0,196.1,6,3550697.2,0.1239,0.8761,,,,,,46.04,Not Available,,,,196100.0,submitted,
23-29 Mt Pleasant Ave,Reported,802573000,Multifamily Housing,23-29 Mount Pleasant Avenue,2119,15716.0,,,,Multifamily Housing,1900.0,77.6,4.9,1437491.1,0.526,0.9474,,,,,,62.97,Not Available,,,,77600.0,submitted,
New Academy Estates-29 Cobden,Reported,1101752000,Multifamily Housing,29 Cobden St,2119,144479.0,,73.0,,Multifamily Housing,2001.0,676,4.7,12325704.2,0.115,0.8985,,,,,,77.7,Not Available,This parcel number contains 13 individual buildings that share meters.,,,676000.0,submitted,
Bancroft,Reported,1101101001,Multifamily Housing,1-11 Bancroft St,2119,27874.0,,,,"Multifamily Housing, Parking",1930.0,167.7,6.3,3026559.8,0.1342,0.8658,,,,,,50.53,Not Available,,,,167700.0,submitted,
Quincy Commons,Reported,1300723000,Multifamily Housing,278 Blue Hill Ave,2119,56670.0,,2.0,,"Multifamily Housing, Parking",2014.0,220.8,4.4,3579182.3,0.545,0.4955,,,,,,19.5,Not Available,,,,220800.0,submitted,
Theroch,Voluntary,1400064000; 1401065000,Multifamily Housing,223 Columbia Road,2121,79102.0,,1.0,,Multifamily Housing,1940.0,1118.9,14.1,20738146,0.494,0.956,,,,,,42.55,Not Available,,,,1118900.0,submitted,
Washington Park-1201990000,Reported,1201990000,Multifamily Housing,25-33 Wyoming Street,2121,52416.0,,2.0,,Multifamily Housing,1890.0,375.6,7.2,6782698.1,0.1329,0.8671,,,,,,33.52,Not Available,,,,375600.0,submitted,
UE Apartments,Reported,1101626000,Multifamily Housing,2014-2030 Columbus Ave,2119,41120.0,,73.0,,"Multifamily Housing, Parking",1920.0,138.2,3.6,2372979.8,0.3,0.7,,,,,,48.83,Not Available,2017 missing some tenant electric usage data,,,138200.0,submitted,
Wardman,Reported,1101661000; 1101662000; 1101663000; 1101664000; 1101665000,Multifamily Housing,19 Wardman Road,2119,80055.0,,77.0,,Multifamily Housing,1920.0,337.4,4.2,6183085.6,0.854,0.9146,,,,,,31.57,Not Available,This property is a single building that spans across 5 parcel numbers.,,,337400.0,submitted,
Washington Columbia II,Reported,1400832000; 1400833000,Multifamily Housing,95 Washington Street,2121,59859.0,,46.0,,Multifamily Housing,1920.0,267.8,4.5,4742810.5,0.1964,0.836,,,,,,70.68,Not Available,,,,267800.0,submitted,
Washington Columbia I,Reported,1400076000; 1400707000,Multifamily Housing,180 Columbia Road,2121,70252.0,,4.0,,Multifamily Housing,1920.0,383.3,5.5,6400235.9,0.398,0.62,,,,,,48.05,Not Available,,,,383300.0,submitted,
Harvard Hill - 436 Harvard,Reported,1404445000,Multifamily Housing,436 Harvard St,2124,23667.0,,,,Multifamily Housing,1940.0,52.9,2.2,988801,0.235,0.9765,,,,,,33.19,Not Available,,,,52900.0,submitted,
Walnut Washington,Reported,1101620000,Multifamily Housing,361-363 Walnut Ave,2119,27261.0,,52.0,,Multifamily Housing,1920.0,122.3,4.5,2159076.1,0.277,0.7923,,,,,,49.43,Not Available,"National Grid removed a meter in April 2019 and reset the usage back as far as July 2018.  This effected the energy scores for 2018 and 2019.  The usage was estimated prior to this time.  The data is based on accurate meter readings from April 26, 2019.",,,122300.0,submitted,
Serenity - Greystar,Reported,1001625010,Multifamily Housing,105 SOUTH HUNTINGTON AVE,2130,273250.0,,44.0,,"Heated Swimming Pool, Multifamily Housing, Parking",2016.0,778.5,3.8,12424169.9,0.568,0.4392,,,,,,27.09,Not Available,,,,778500.0,submitted,
The Eddy - Greystar,Reported,105410000,Multifamily Housing,"10 New St, East ",2128,260000.0,,44.0,,Multifamily Housing,2016.0,1210.4,4.7,20421590.4,0.3618,0.6382,,,,,,0.04,Not Available,,,,1210400.0,submitted,
